,title,originallink,link,description,pubDate
39,"핌스, 美 화웨이 제재에 신규 고객사 확대 기대-SK증권",http://www.fnnews.com/news/202104221034046737,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004625567,"만큼 추가적인 오더가 발생할 수 있다고 말했다. 그는 또한 이 외 스마트기기 시장의 확대, 중저가 스마트폰 내 OLED 디스플레이 패널 채택 비율 증가로 지속적인 외형성장이 나타날 것으로 예상한다고 밝혔다.","Thu, 22 Apr 2021 10:41:00 +0900"
40,"[뉴스투데이 E] ‘무인창업 시대’ 커피에반하다, 서울 삼성동에 ‘스마트 카...",https://www.news2day.co.kr/article/20210422500063,https://www.news2day.co.kr/article/20210422500063,"특히, 스마트 카페 전용 모바일 App에서 커스터마이징 메뉴를 강화해 ‘나만의 메뉴’부터 오더 기능, 선불카드 결제, 스탬프 적립, 다양한 이벤트, 쿠폰 사용까지 멤버십과 리워드 혜택을 차별화했다. 커피에반하다... ","Thu, 22 Apr 2021 10:37:00 +0900"
41,"커피에반하다, 서울 삼성동에 '스마트 카페' 쇼룸 오픈",http://www.wolyo.co.kr/news/articleView.html?idxno=117754,http://www.wolyo.co.kr/news/articleView.html?idxno=117754,"특히, 스마트 카페 전용 모바일 App에서 커스터마이징 메뉴를 강화해 '나만의 메뉴'부터 오더 기능, 선불카드 결제, 스탬프 적립, 다양한 이벤트, 쿠폰 사용까지 멤버십과 리워드 혜택을 차별화했다. 커피에반하다 스마트... ","Thu, 22 Apr 2021 10:24:00 +0900"
42,"주류업계, 스트리밍족 위한 홈술 주류 추천",http://www.m-i.kr/news/articleView.html?idxno=822109,http://www.m-i.kr/news/articleView.html?idxno=822109,말리부 오리지널 200mL 1병과 말리부 라임 200mL 1병이 제공되며 GS25의 주류 스마트오더 시스템 '와인25플러스'를 통해 구매할 수 있다. 상품 포장박스에는 '말리쿨' 칵테일 황금비율 레시피가 적혀 있어 집에서도 맛있는... ,"Thu, 22 Apr 2021 10:05:00 +0900"
43,"SK증권 핌스, 고성장 앞두고 공장 증설 추진",http://www.youthdaily.co.kr/news/article.html?no=69004,http://www.youthdaily.co.kr/news/article.html?no=69004,주요 고객사 중국 BOE 신규 고객사 확대 추진 국내외 공장 증설 올해 4분기 완료 예상 국내 스마트폰 업체 추가 오더도 가능 【 청년일보 】 SK증권이 핌스에 대해 고성장을 앞두고 공장 증설을 추진하고 있다고... ,"Thu, 22 Apr 2021 09:26:00 +0900"
44,"[클릭 e종목]핌스, 고성장 앞두고 공장 증설 추진 중",https://view.asiae.co.kr/article/2021042208493778954,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=277&aid=0004889601,대형 스마트폰 업체 대상으로도 제품에 대한 테스트를 진행 중인 만큼 추가적인 오더가 발생할 수 있다고 설명했다. 이와 함께 BOE의 OLED 출하량 증가에 따른 수혜도 기대되고 있다. 그는 지난해부터 화웨이가... ,"Thu, 22 Apr 2021 08:49:00 +0900"
45,"카브루, 수제맥주 '구미호 피치 에일' 편의점 CU 입점 판매",http://www.edaily.co.kr/news/newspath.asp?newsid=01551446629018744,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=018&aid=0004908447,"‘구미호 릴렉스 비어’와 ‘구미호 IPA’도 주요 편의점과 대형마트, 스마트 오더 등 판매 채널을 늘리며 영향력을 확대해 나간다는 방침이다. 카브루 관계자는 “구미호 맥주 3종은 지난해 하반기 소매 채널에서만... ","Thu, 22 Apr 2021 08:45:00 +0900"
46,"카브루, 수제맥주 '구미호 피치 에일' CU 입점",http://www.fnnews.com/news/202104220814459267,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004625361,"또 구미호 릴렉스 비어와 구미호 IPA도 주요 편의점과 대형마트, 스마트 오더 등 공격적으로 판매 채널을 늘려나갈 계획이다. 카브루 관계자는 구미호 맥주 3종이 지난해 소매 채널에서만 100만캔 가량 판매고를 달성해... ","Thu, 22 Apr 2021 08:17:00 +0900"
47,"커피에반하다, 스마트 바리스타 머신 ‘에피소드 릴리(Episode Lilly)’로 무...",http://www.cooknchefnews.com/news/newsview.php?ncode=1065566818395443,http://www.cooknchefnews.com/news/newsview.php?ncode=1065566818395443,"특히, 스마트 카페 전용 모바일 App에서 커스터마이징 메뉴를 강화해 ‘나만의 메뉴’부터 오더 기능, 선불카드 결제, 스탬프 적립, 다양한 이벤트, 쿠폰 사용까지 멤버십과 리워드 혜택을 차별화했다. .. 커피에반하다... ","Thu, 22 Apr 2021 07:53:00 +0900"
48,"[SR블록체인] 플라이빗, 호드 토큰 세일…MCI재단, 중국 기관 투자 유치",http://www.srtimes.kr/news/articleView.html?idxno=91692,http://www.srtimes.kr/news/articleView.html?idxno=91692,"소비하는 스마트 계약을 제공한다. 자체적으로 토큰화된 바스켓 ETF를 발행하고 거래할 수 있도록... HORD 토큰은 소각 및 구매에 따른 5%의 수익을 성공 보수로 지급하고, ETF용 오더 북 DEX의 경우 0.25% 거래 수수료가... ","Thu, 22 Apr 2021 00:37:00 +0900"
